Annee,PIB,Tertiare,Agriculture,Industries d'extraction,Industrie alimentaire,Industrie chimique,Industrie du papier,Industrie non-metallique,Autres industries manufacturies,Batiment et travaux publics,Transport
2013.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014.0,1.042511359383742,1.0323470998654283,1.0369930221271302,1.031247950080645,1.0317649142643446,1.029999996734474,1.0260276700300288,1.0700570892570078,1.0341981101626,1.1329964370205656,1.0332538158555786
2015.0,1.0773192822853055,1.0645572001462513,1.0749785723966083,1.0639783055860423,1.066667206610272,1.0624449941813192,1.0512534577517116,1.1035142118596657,1.0624855216313165,1.1932297112232322,1.0657810019401068
2016.0,1.1141298066570184,1.0991733430151536,1.1150914644921275,1.0992536142898788,1.104041984356181,1.0975056773071112,1.0776254468577977,1.1396726986139325,1.0913991649772257,1.2531630283110258,1.1009308265512738
2017.0,1.1551997886618672,1.1362408215953648,1.1564616846825457,1.137189060651839,1.1424401505338933,1.1353696216827727,1.104786598115355,1.1787254876433455,1.1205617201154139,1.295361726054202,1.138891300727244
2018.0,1.2001657017431073,1.1762752509815562,1.2022145808257638,1.1781756424736962,1.1852971903471152,1.1762429261741283,1.1342245163798856,1.2208845739644483,1.1522734602830629,1.340501184776195,1.1798690016892577
2019.0,1.2485235007325082,1.2194882776847533,1.2513254159691602,1.2223380087391251,1.2312024433273314,1.2203520336191547,1.1656838625742496,1.2663828773024863,1.1862351549500156,1.38922436959807,1.2240908977821214
2020.0,1.2999322789939247,1.2655406145262806,1.302195061395541,1.2699892555430419,1.2784503950374397,1.2679457592869798,1.1983928630054335,1.3154763252427977,1.2220931971903668,1.4418023321463056,1.2718063822170118
2021.0,1.3534797406458534,1.3130895768805881,1.3540644799909802,1.3214031130272805,1.328672974331729,1.3192975605465098,1.2327630372938494,1.3684461771990895,1.260521747471293,1.4985329158808043,1.3232895423455422
2022.0,1.4108383207568742,1.3641858913649212,1.4100310955319204,1.3768805035674252,1.38186328316852,1.3747080556883169,1.2692985406504742,1.4256016180050832,1.3016137068374753,1.5597434767704335,1.3788416927581408
2023.0,1.4724992395583076,1.4192206784795662,1.4704260106381746,1.4367499011409666,1.4387007306229844,1.4345078536705538,1.3084127720444527,1.4872826537109474,1.3457274206889955,1.6257939201197456,1.4387942041040778
2024.0,1.539326823712531,1.4785186957830134,1.535613443823965,1.5012758103483699,1.4988709665009956,1.4990607043870894,1.3500753723199879,1.5538633464555462,1.3929606572131386,1.6970800918952276,1.5035116626221123
2025.0,1.6110608990075281,1.5424883341776217,1.6059942342619504,1.5709364570575552,1.5631314093652544,1.568767024225322,1.39524032994731,1.6257554301645802,1.4465158535779956,1.7740375679580107,1.5733954021926535
2026.0,1.6887823128614246,1.611565350852719,1.682009760307268,1.6461698689873887,1.6317781787992547,1.6440678382220832,1.4442896153267917,1.7034123543792548,1.5067360688641893,1.8571458903656943,1.6488874551300157
2027.0,1.7727026890629078,1.6860373364254324,1.7641463262726782,1.72742757189689,1.7044778149055895,1.725449224590743,1.4966482812937705,1.7873338098493257,1.5710421135520696,1.9469333064608303,1.730474978355412
2028.0,1.8624955490498096,1.766395009180275,1.852940061891761,1.815267984538165,1.7821220462951068,1.8134470996148495,1.5517225193665798,1.8780707967425507,1.6358599910623453,2.043982073935178,1.8186951840650587
2029.0,1.959451755043067,1.8537730715355227,1.9480760947322913,1.9102783805203993,1.8650147576450395,1.9086530722854318,1.6106180353159758,1.9762313045616413,1.7039690660540832,2.1489344035826923,1.914140933454779
2030.0,2.0631633327665955,1.9478613018279138,2.046240234162042,2.013071887034699,1.9524568462111334,2.0117203379507953,1.6733006455384591,2.0824866822720742,1.7767021282133224,2.262499121186734,2.01746692034011
2031.0,2.1749222233813725,2.0494460642784413,2.151495584343701,2.124395931370679,2.0458421172118166,2.123370845157279,1.7405628092856935,2.1975787879056683,1.854952049992008,2.3854591411090866,2.129396685005595
2032.0,2.294919913089839,2.1584169959547084,2.263632515531217,2.2450046086560222,2.1447526260770857,2.2444029474244815,1.8123728397340253,2.3223280192193267,1.939120159207888,2.5186798568688396,2.250730436492291
2033.0,2.424373825779672,2.276086016184866,2.3839917739466885,2.3758080377099544,2.250460376719096,2.3757005157980364,1.889571669959387,2.4576423410915207,2.030001942064744,2.6631185685600767,2.382353927530365
2034.0,2.564329371471848,2.4035013630128916,2.513275659463607,2.5177766015627494,2.3635020931705863,2.5182425423755808,1.9726947007334137,2.604527441504151,2.128229496449528,2.8198350836384014,2.525248336580262
2035.0,2.7155404729702464,2.5414812836922143,2.6513285792348165,2.6719422753283655,2.483472833683354,2.6731144907666793,2.061905226378125,2.7640981665010096,2.2342380749543977,2.9900036467323488,2.68050147902929
