Annexe.4: Tbleaux des r?sultats: TRE et MCS 2013  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TABLEAU DES RESSOURCES ET DES EMPLOIS (TRE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ANNEE 2013  (en millions de DH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T11:       TABLEAU DES RESSOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ressources en produits,,Total des ressources ? prix d'acquisi-tion,Marges  de commerce,Marges  de transport,TVA non d?ductible,Subven-tions sur les produits,Autres taxes sur les produits,Imp?ts sur les impor-tations,Total des ressources ? prix de base,,Agriculture, for?t,P?che et aquaculture,Industries d'extraction,Industrie alimentaire et tabac,Industrie du textile et du cuire,Industrie chimique et para chimique,"Industrie m?canique, m?tallurgique et ?lectrique",Autres industries manufacturi?res, Eau,B?timent et travaux publics,Commerce et r?parations,H?tels et restaurants,Transport ferroviaire? ,Transport routier ,Transport maritime ,Transport a?rien ,Autres transports. ,Postes et t?l?communications,Activit?s financi?res et assurances,"Immobilier, location et services rendus aux entreprises",Administration publique g?n?rale et s?curit? sociale,"Education, sante et action sociale",Autres services non financiers,Total des branches,Ajustement CAF /FAB,Importations,,,,,,,
l,CODE MM,R1,R2,R3,R4,R5,R6,R8,R10,CODE MM,BA01,BA03,BB05,BC00,BD01,BD02,BD03,BD04,BD05,BE20,BF45,BG00,BH55,BI11,BI12,BI13,BI14,BI15,BI20,BJ00,BK00,BL75,BMN0,BOP0,Total des branches,Ajustement CAF /FAB,Impor-tations,,,,,,,
Autres services non financiers,POP00,22851,,,988,,124,,21739,POP00,,,,,4,2,,13,6,,135,75,310,21,,,,,15,,41,3916,45,16845,21428,,311,,,,,,,
Correction territoriale,PTR00,12355,,24018,,,,,-11663,PTR00,,,,,,,,,,,,,,,,,,,,,,,,,,,-11663,,,,,,,
,TOTAL,2022904,,,75131,-42061,38759,7681,1943394,TOTAL,165457,3870,12514,38306,162138,51578,55861,110668,72366,6752,124261,116423,32261,4743,23523,4136,17904,12973,34185,61996,110545,115866,90404,17177,1519189,,424205,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,
T12:         TABLEAU DES  EMPLOIS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exportations,Consummation Finale (Menages),Consummation Finale (administrations publiques),Consummation Finale (Institutions sans but lucratif),Formation Brut de Capital Fixe,Variation des stocks,,
l,CODE MM,R1,R2,R3,R4,R5,R6,R8,R10,CODE MM,BA01,BA03,BB05,BC00,BD01,BD02,BD03,BD04,BD05,BE20,BF45,BG00,BH55,BI11,BI12,BI13,BI14,BI15,BI20,BJ00,BK00,BL75,BMN0,BOP0,Total des CI,CODE MM,exp,CF,CF APU,ISBL,FBCF,VS,TOTAL EMP,
Agriculture,PA010,204495,,,,,,,,PA010,22070,56,11,,66647,637,1200,2,82,,5,1985,1518,,66,2,,,,,102,154,108,41,94686,PA010,12260,77082,1660,,5326,13481,204495,0
Autres produits de la for?t,PA309,2550,,,,,,,,PA309,,1121,,,,,5,41,773,,16,,,,,,,,,,,,,39,1995,PA309,25,31,,,265,234,2550,0
P?che et aquaculture,PB050,13826,,,,,,,,PB050,,,1876,,3818,13,77,16,,,,,292,,1,,,,,,,,,,6093,PB050,3289,4444,,,,,13826,0
Autres produits de l?industrie de l?extraction ,PC019,45953,,,,,,,,PC019,,,,63,111,4,23907,1990,1958,,3848,115,3,,4,,,,,,6,651,,,32660,PC019,12627,380,,,,286,45953,0
Industrie alimentaire et tabac,PD010,217294,,,,,,,,PD010,15126,,79,,21217,89,57,2,12,,,1141,6459,,,68,,,,,18,646,160,120,45194,PD010,20287,148260,,,,3553,217294,0
Industrie de textile et cuir,PD020,88401,,,,,,,,PD020,301,,25,39,90,27496,68,84,1053,,34,193,63,,,,39,,,,113,799,86,47,30546,PD020,33387,20139,,,319,4010,88401,0
Autres Industrie chimique et para chimique,PD039,99095,,,,,,,,PD039,9002,1,8,202,1966,2288,10569,3307,10470,135,2188,2147,196,2,60,11,,11,80,,498,705,1498,467,45903,PD039,34902,12662,3191,,,2437,99095,0
"Industrie m?canique, m?tallurgique",PD040,283957,,,,,,,,PD040,381,,82,715,2137,756,518,60760,6622,166,17469,7144,136,,1861,,,,3163,,1013,1118,1174,463,107312,PD040,53946,25665,,,89354,7680,283957,0
Autres industries manufacturi?res,PD050,123521,,,,,,,,PD050,54,,98,714,5611,3298,1182,4967,14138,18,40699,6695,285,,,,686,,372,707,797,1399,730,628,83231,PD050,4799,20030,,,6412,9049,123521,0
Eau ,PE200,7994,,,,,,,,PE200,1124,,7,7,152,54,155,43,69,5,362,244,183,18,11,1,2,31,121,2,25,812,244,73,3915,PE200,7,4072,,,,,7994,0
B?timent et travaux publics,PF450,143762,,,,,,,,PF450,347,,6,23,138,50,53,206,106,240,49,585,23,139,,,,,74,446,233,944,247,40,4004,PF450,,4151,,,135607,,143762,0
Commerce et r?parations,PG000,11367,,,,,,,,PG000,90,,,,,,,,,,46,183,3,,461,,,54,16,,89,2849,165,2,3958,PG000,,7409,,,,,11367,0
H?tels et restaurants,PH550,36021,,,,,,,,PH550,8,,,16,48,50,89,165,67,,11,113,179,88,,,,,638,1209,,3305,370,178,6547,PH550,96,29378,,,,,36021,0
Transport ferroviaire? ,PI110,3080,,,,,,,,PI110,,,,740,44,1,1,7,22,,,109,,,,,,,,,,729,9,,1733,PI110,,1347,,,,,3080,0
Transport routier ,PI120,20736,,,,,,,,PI120,1021,,48,98,486,113,115,193,416,1,78,932,28,,176,1,,164,13,577,36,111,347,227,5223,PI120,2006,13507,,,,,20736,0
Transport maritime ,PI130,5268,,,,,,,,PI130,,,6,650,,,,,,,,,,,,,,,,,,,,,656,PI130,3076,1536,,,,,5268,0
Transport a?rien ,PI140,17857,,,,,,,,PI140,5,,,53,17,,,,,,,,,,,,,,2,,,546,205,128,956,PI140,10081,6820,,,,,17857,0.1
Autres transports. ,PI150,15691,,,,,,,,PI150,351,,16,118,619,70,125,294,268,,62,1466,,120,28,142,1858,137,106,,37,22,3,,5903,PI150,4147,5641,,,,,15691,0
Postes et t?l?communications,PI200,42022,,,,,,,,PI200,95,,16,17,136,62,92,159,89,23,164,1113,78,,,,340,,638,679,242,1782,453,73,6335,PI200,4664,31023,,,,,42022,0
Activit?s financi?res et assurances,PJ000,66187,,,,,,,,PJ000,446,,323,179,792,440,220,1176,674,97,2963,3356,653,,,,764,,964,8659,6650,2346,189,92,32294,PJ000,1200,32043,650,,,,66187,0
"Immobilier, location et services rendus aux entreprises",PK000,162213,,,,,,,,PK000,49,,8,564,2459,794,1028,2539,1571,156,1749,6871,1503,,,,,9216,3374,6065,4623,5806,3095,1119,53293,PK000,22340,47416,,,39164,,162213,0
Administration publique g?n?rale et s?curit? sociale,PL750,103111,,,,,,,,PL750,,,,,,,,,,,,,,,,,,,,,,,,,,PL750,,2644,100467,,,,103111,0
"Education, sante et action sociale",PMN00,91639,,,,,,,,PMN00,385,,,,,,,,,,,,,,,,,,,211,,698,472,56,1822,PMN00,,15608,72341,1868,,,91639,0
Autres services non financiers,POP00,22851,,,,,,,,POP00,,,,134,271,183,80,267,520,183,93,268,98,,,,,19,29,3,354,202,188,353,3388,POP00,52,16988,,2374,49,,22851,0
Correction territoriale,PTR00,12355,,,,,,,,PTR00,,,,,,,,,,,,,,,,,,,,,,,,,,PTR00,60656,-48301,,,,,12355,0
,TOTAL,2022904,,,,,,,,TOTAL,55909,1223,4481,8279,110625,37254,40790,78569,45418,1610,73880,40577,12533,1665,8312,2140,9726,10912,11168,19007,15482,31666,11086,4636,700777,,294318,533902,178309,4242,276496,34860,2022904,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l,CODE MM,R1,R2,R3,R4,R5,R6,R8,R10,CODE MM,BA01,BA03,BB05,BC00,BD01,BD02,BD03,BD04,BD05,BE20,BF45,BG00,BH55,BI11,BI12,BI13,BI14,BI15,BI20,BJ00,BK00,BL75,BMN0,BOP0,Total des CI,,exp,CF,CF APU,ISBL,FBCF,VS,TOTAL EMP,
Valeur ajout?e brute /PIB,,,,,75131,-42061,38759,7681,,Valeur ajoute brute /PIB,109548,2647,8033,30027,51513,14324,15071,32099,26948,5142,50381,75846,19728,3078,15211,1996,8178,2061,23017,42989,95063,84200,79318,12541,818412,897922,,,,,,,,
R?mun?ration des salari?s,,,,,,,,,,Remuneration des salaries,7658,161,5644,3642,9296,5412,8415,12019,6624,2310,16395,18995,7111,931,5244,323,2399,648,4853,13838,13770,73499,65067,4274,293755,293755,,,,,,,,
Salaires bruts,,,,,,,,,,Salaires bruts,7212,120,5105,2940,7562,3926,7843,10296,5281,2060,14035,14169,5845,642,4414,203,1826,509,4152,11177,10139,63159,55648,3944,246782,246782,,,,,,,,
Contributions sociales effectives,,,,,,,,,,Contributions sociales effectives,433,41,527,452,1623,1450,532,1566,1274,246,2203,4624,1190,232,750,105,442,109,671,2544,3455,8107,7417,315,40713,40713,,,,,,,,
Contributions sociales imput?es,,,,,,,,,,Contributions sociales imputes,13,,12,250,111,36,40,157,69,4,157,202,76,57,80,15,131,30,30,117,176,2233,2002,15,6260,6260,,,,,,,,
Imp?ts sur la production,,,,,,,,,,Impots sur la production,49,1,140,1011,2080,351,187,521,370,45,605,1392,245,72,82,8,150,204,127,836,1096,345,141,529,10914,10914,,,,,,,,
Subventions sur la production,,,,,,,,,,Subventions sur la production,,,,,-17,,-17,,,,,,,,,,,,,-16,-101,,,-26,-177,-177,,,,,,,,
Exc?dent brut d'exploitation / revenu mixte,, ,,,,,,,,Excedent brut d'exploitation / revenu mixte,101841,2485,2249,25374,40154,8561,6486,19559,19954,2787,33381,55459,12372,2075,9885,1665,5629,1209,18037,28331,80298,10356,14110,7764,513920,593430,,,,,,,,
